"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA.105",15270,152,"LaSalleLake",47.33732,-95.16525,103914.683005904,1263443.83081385,0,0.17460580482465,NA,NA,155.06137638247,223.706485137615,8
"NA.106",15273,153,"SaintOlafLake",43.90284,-93.417225,186355.283264272,866078.761291319,0,0.0383266601894374,NA,NA,180.107695183037,478.32963598169,11
"NA.107",15274,40,"JonesLake",45.428085,-93.981475,164069.47439386,1040205.48115173,0.266467264770128,0.170232533988969,NA,NA,156.077244082112,222.104005967953,3
"NA.108",15294,155,"LongLake",44.988845,-93.556405,190736.788508906,987371.703300735,0.181262266593237,0.106328832457012,NA,NA,155.785796230016,1830.27386356251,11
"37",15302,185,"EmrickLake",43.800155,-89.59428,490520.692090984,823240.980232732,0,0.173161081644862,22.9884784483954,4.19794219302698e-09,154.378691659477,1994.46806558836,28
"38",15309,227,"EastSoldierLake",46.34668,-84.857625,876365.341825624,1087833.89398106,0.0677668949059663,0.220989753742579,NA,4.63910779391555e-09,206.906604909869,1764.79819004694,8
"NA.109",15316,229,"TroutLakeBog",46.205,-85.0215,863427.274612898,1072326.38602139,0.0796608826931038,0.227419414052834,NA,NA,403.117995057803,1935.92390293765,5
"NA.110",15318,156,"WolsfeldWoodsMarsh",45.00373,-93.574555,189531.962237401,989198.010662575,0.181262266593237,0.106328832457012,NA,NA,169.046791380869,1491.46339308783,25
"NA.111",15403,157,"DeepLake",47.683805,-95.398395,92323.5740506272,1304199.96394336,0.219745202067184,0.214257398793979,NA,NA,150.782343246337,1904.1208928417,11
"NA.112",15489,191,"FerryLake",46.013,-92.125,315188.811033062,1087291.30315203,0.481330357872001,0.289947471303147,NA,NA,185.538891570534,1984.5485472925,50
"NA.113",15660,233,"BuckLake",46.520515,-86.35387,762185.589125341,1110547.27199743,0.158893048809819,0.229425429555662,NA,NA,229.983493818389,1628.67492976989,6
"33",15682,216,"CanyonLake",46.833333,-87.921389,644273.759966366,1151127.39944288,0.0487692902801057,0.204606095889285,123.431640466462,3.89103275106913e-08,168.061031169261,1684.54162955542,23
"39",15740,192,"HemlockLake",46.3073,-91.19829,389673.231228143,1112417.10958905,0,0.181759124251265,84.2733273657225,5.64845445843711e-09,185.825964578744,1993.24241236433,12
"NA.114",15882,193,"WarnerLake",46.11935,-92.03985,323024.389672972,1098340.70496084,0,0.13201360037923,NA,NA,191.105196734604,1844.29290691682,37
"NA.115",15919,235,"CrookedLake",46.24525,-89.29409,535027.607643422,1092795.90634843,0.250280416813252,0.231830659870736,NA,NA,241.908770235912,1823.44318834038,4
"40",15922,236,"JayLake",46.23435,-89.28155,535899.26700222,1091513.12959678,0.250280416813252,0.231830659870736,NA,3.97249462588515e-09,158.212450293001,1726.19865576869,7
"41",15925,194,"LakeOPines",46.140435,-89.2553,537134.106781938,1080933.5334749,0.437274895005921,0.270029591872795,NA,4.36928752634401e-08,194.670377187251,1812.73519181813,5
"NA.116",15965,158,"QuallyPond",47.683165,-96.20294,32711.6729677821,1313513.21086836,0.237846684949379,0.232988464652952,NA,NA,1503.54497113843,1503.54497113843,1
"42",16129,195,"LimaBog",42.78895,-88.8432,542898.840346621,706581.819907846,0.072910850973607,0.131715017959481,25.50913809113,1.12420234087482e-10,170.180847495605,1957.66903662582,17
"43",17304,196,"CapitolaLake",45.519575,-89.55507,508662.180766656,1013784.05727267,0.0262225425666736,0.214334547684269,NA,1.96577178441478e-08,291.236541356182,1801.16212169271,7
"NA.117",17387,197,"BeaverLake",44.919595,-88.15694,613359.974285348,939510.585123773,0.185572570780262,0.23785727246871,NA,NA,209.158076986442,1842.20910377437,9
